SeqNo,Date,UTC Time,Time,IOvector
117,1/17/2019,43:49.7, 000:01:11.776,4194986
118,1/17/2019,43:50.2, 000:01:12.319,4203178
119,1/17/2019,43:51.2, 000:01:13.250,4194986
120,1/17/2019,43:51.7, 000:01:13.770,37546
121,1/17/2019,43:51.8, 000:01:13.852,37514
122,1/17/2019,43:51.9, 000:01:13.992,33418
123,1/17/2019,43:52.1, 000:01:14.141,666
124,1/17/2019,43:52.1, 000:01:14.207,650
125,1/17/2019,43:52.4, 000:01:14.454,682
126,1/17/2019,43:53.4, 000:01:15.457,262826
127,1/17/2019,43:53.5, 000:01:15.557,262824
128,1/17/2019,43:53.7, 000:01:15.789,524969
129,1/17/2019,43:53.8, 000:01:15.913,524968
130,1/17/2019,43:54.1, 000:01:16.167,4194986
131,1/17/2019,43:54.8, 000:01:16.933,4197034
132,1/17/2019,43:55.0, 000:01:17.127,4198058
133,1/17/2019,43:55.7, 000:01:17.751,4197034
134,1/17/2019,43:55.8, 000:01:17.847,4194986
135,1/17/2019,43:56.1, 000:01:18.219,4211370
136,1/17/2019,43:57.2, 000:01:19.235,4194986
137,1/17/2019,43:57.6, 000:01:19.726,74410
138,1/17/2019,43:57.7, 000:01:19.814,74282
139,1/17/2019,43:57.9, 000:01:19.981,66090
140,1/17/2019,43:58.0, 000:01:20.071,618
141,1/17/2019,43:58.0, 000:01:20.128,554
142,1/17/2019,43:58.3, 000:01:20.367,682
143,1/17/2019,43:59.3, 000:01:21.369,1049258
144,1/17/2019,43:59.4, 000:01:21.436,1049250
145,1/17/2019,43:59.6, 000:01:21.702,2097830
146,1/17/2019,43:59.7, 000:01:21.816,2097826
147,1/17/2019,44:00.0, 000:01:22.098,4194986
148,1/17/2019,44:02.7, 000:01:24.822,4196010
149,1/17/2019,44:03.8, 000:01:25.903,4194986
150,1/17/2019,44:04.0, 000:01:26.133,148138
151,1/17/2019,44:04.1, 000:01:26.178,147626
152,1/17/2019,44:04.3, 000:01:26.352,131242
153,1/17/2019,44:04.4, 000:01:26.454,426
154,1/17/2019,44:04.4, 000:01:26.512,170
155,1/17/2019,44:04.7, 000:01:26.755,682
